+------+--------+-------+-------+-------+-------+-------+
| Year | Storms | Cat.1 | Cat.2 | Cat.3 | Cat.4 | Cat.5 |
| 1900 |   7    |   3   |   3   |   2   |   1   |   0   |
| 1901 |   13   |   6   |   1   |   0   |   0   |   0   |
| 1902 |   5    |   3   |   2   |   0   |   0   |   0   |
| 1903 |   10   |   7   |   4   |   1   |   0   |   0   |
| 1904 |   6    |   4   |   0   |   0   |   0   |   0   |
| 1905 |   5    |   1   |   1   |   1   |   0   |   0   |
| 1906 |   11   |   6   |   4   |   3   |   1   |   0   |
| 1907 |   5    |   0   |   0   |   0   |   0   |   0   |
| 1908 |   10   |   6   |   4   |   1   |   0   |   0   |
| 1909 |   12   |   6   |   6   |   4   |   0   |   0   |
| 1910 |   5    |   3   |   3   |   1   |   1   |   0   |
| 1911 |   6    |   3   |   2   |   0   |   0   |   0   |
| 1912 |   7    |   4   |   2   |   1   |   0   |   0   |
| 1913 |   6    |   4   |   0   |   0   |   0   |   0   |
| 1914 |   1    |   0   |   0   |   0   |   0   |   0   |
| 1915 |   6    |   5   |   4   |   3   |   2   |   0   |
| 1916 |   15   |   10  |   8   |   5   |   1   |   0   |
| 1917 |   4    |   2   |   2   |   2   |   1   |   0   |
| 1918 |   6    |   4   |   3   |   1   |   0   |   0   |
| 1919 |   5    |   2   |   2   |   1   |   1   |   0   |
| 1920 |   5    |   4   |   2   |   0   |   0   |   0   |
| 1921 |   7    |   6   |   2   |   2   |   1   |   0   |
| 1922 |   5    |   3   |   2   |   1   |   0   |   0   |
| 1923 |   9    |   4   |   2   |   1   |   0   |   0   |
| 1924 |   11   |   6   |   3   |   2   |   1   |   1   |
| 1925 |   4    |   2   |   0   |   0   |   0   |   0   |
| 1926 |   11   |   8   |   8   |   6   |   4   |   0   |
| 1927 |   8    |   4   |   2   |   1   |   0   |   0   |
| 1928 |   6    |   4   |   2   |   1   |   1   |   1   |
| 1929 |   5    |   3   |   1   |   1   |   1   |   0   |
| 1930 |   3    |   2   |   2   |   2   |   1   |   0   |
| 1931 |   13   |   3   |   2   |   1   |   1   |   0   |
| 1932 |   15   |   7   |   5   |   4   |   4   |   2   |
| 1933 |   20   |   12  |   8   |   6   |   5   |   2   |
| 1934 |   13   |   7   |   4   |   1   |   0   |   0   |
| 1935 |   8    |   5   |   4   |   3   |   3   |   1   |
| 1936 |   17   |   7   |   4   |   1   |   0   |   0   |
| 1937 |   11   |   5   |   3   |   1   |   0   |   0   |
| 1938 |   9    |   4   |   3   |   2   |   1   |   1   |
| 1939 |   6    |   3   |   1   |   1   |   1   |   0   |
| 1940 |   9    |   7   |   5   |   0   |   0   |   0   |
| 1941 |   6    |   4   |   3   |   3   |   1   |   0   |
| 1942 |   11   |   4   |   3   |   1   |   0   |   0   |
| 1943 |   10   |   5   |   5   |   2   |   1   |   0   |
| 1944 |   14   |   8   |   4   |   3   |   2   |   0   |
| 1945 |   11   |   5   |   4   |   2   |   1   |   0   |
| 1946 |   7    |   4   |   2   |   0   |   0   |   0   |
| 1947 |   10   |   5   |   4   |   2   |   1   |   0   |
| 1948 |   10   |   6   |   4   |   4   |   2   |   0   |
| 1949 |   22   |   10  |   4   |   2   |   1   |   0   |
| 1950 |   23   |   17  |   10  |   6   |   3   |   0   |
| 1951 |   21   |   10  |   4   |   3   |   2   |   0   |
| 1952 |   18   |   8   |   5   |   2   |   1   |   0   |
| 1953 |   18   |   9   |   3   |   3   |   1   |   1   |
| 1954 |   27   |   11  |   5   |   3   |   1   |   0   |
| 1955 |   19   |   11  |   8   |   4   |   3   |   1   |
| 1956 |   23   |   11  |   2   |   1   |   0   |   0   |
| 1957 |   21   |   13  |   5   |   4   |   2   |   0   |
| 1958 |   25   |   12  |   7   |   3   |   3   |   0   |
| 1959 |   29   |   12  |   5   |   5   |   4   |   1   |
| 1960 |   15   |   9   |   2   |   2   |   1   |   0   |
| 1961 |   21   |   11  |   6   |   5   |   5   |   2   |
| 1962 |   16   |   6   |   2   |   0   |   0   |   0   |
| 1963 |   18   |   11  |   5   |   3   |   1   |   0   |
| 1964 |   18   |   8   |   6   |   5   |   4   |   0   |
| 1965 |   20   |   5   |   3   |   1   |   1   |   0   |
| 1966 |   24   |   14  |   3   |   3   |   1   |   0   |
| 1967 |   43   |   13  |   4   |   3   |   2   |   1   |
| 1968 |   34   |   11  |   0   |   0   |   0   |   0   |
| 1969 |   39   |   16  |   7   |   5   |   1   |   1   |
| 1970 |   38   |   10  |   6   |   2   |   0   |   0   |
| 1971 |   40   |   18  |   12  |   7   |   2   |   1   |
| 1972 |   33   |   12  |   8   |   5   |   1   |   0   |
| 1973 |   29   |   11  |   6   |   4   |   3   |   1   |
| 1974 |   38   |   15  |   8   |   5   |   2   |   0   |
| 1975 |   40   |   15  |   10  |   7   |   3   |   0   |
| 1976 |   36   |   15  |   10  |   7   |   4   |   0   |
| 1977 |   23   |   9   |   2   |   1   |   1   |   1   |
| 1978 |   43   |   19  |   12  |   9   |   7   |   0   |
| 1979 |   30   |   12  |   8   |   6   |   4   |   1   |
| 1980 |   32   |   16  |   10  |   5   |   2   |   1   |
| 1981 |   37   |   15  |   6   |   4   |   1   |   0   |
| 1982 |   31   |   14  |   8   |   6   |   2   |   0   |
| 1983 |   27   |   15  |   11  |   9   |   5   |   0   |
| 1984 |   41   |   18  |   12  |   8   |   5   |   0   |
| 1985 |   37   |   20  |   12  |   11  |   4   |   0   |
| 1986 |   27   |   13  |   5   |   3   |   3   |   0   |
| 1987 |   34   |   13  |   8   |   5   |   2   |   0   |
| 1988 |   41   |   13  |   8   |   6   |   5   |   1   |
| 1989 |   39   |   16  |   8   |   6   |   4   |   1   |
| 1990 |   41   |   24  |   11  |   7   |   4   |   0   |
| 1991 |   28   |   14  |   9   |   7   |   3   |   0   |
| 1992 |   40   |   20  |   15  |   11  |   8   |   1   |
| 1993 |   28   |   15  |   12  |   10  |   7   |   0   |
| 1994 |   34   |   13  |   9   |   5   |   5   |   3   |
| 1995 |   32   |   18  |   12  |   8   |   6   |   0   |
| 1996 |   26   |   14  |   9   |   8   |   3   |   0   |
| 1997 |   33   |   14  |   11  |   10  |   8   |   4   |
| 1998 |   30   |   19  |   13  |   9   |   5   |   1   |
| 1999 |   30   |   14  |   12  |   7   |   6   |   0   |
| 2000 |   40   |   14  |   8   |   5   |   3   |   0   |
| 2001 |   36   |   17  |   9   |   6   |   4   |   0   |
| 2002 |   33   |   12  |   10  |   8   |   5   |   3   |
| 2003 |   38   |   14  |   8   |   3   |   2   |   1   |
| 2004 |   33   |   15  |   10  |   9   |   6   |   1   |
| 2005 |   48   |   22  |   12  |   9   |   6   |   4   |
| 2006 |   35   |   16  |   11  |   8   |   3   |   1   |
| 2007 |   32   |   11  |   3   |   3   |   3   |   2   |
| 2008 |   36   |   16  |   9   |   7   |   5   |   0   |
| 2009 |   34   |   11  |   9   |   7   |   4   |   1   |
| 2010 |   34   |   15  |   11  |   7   |   5   |   1   |
| 2011 |   33   |   17  |   11  |   10  |   7   |   0   |
| 2012 |   36   |   20  |   12  |   7   |   1   |   0   |
| 2013 |   36   |   12  |   2   |   1   |   0   |   0   |
| 2014 |   32   |   22  |   13  |   11  |   8   |   2   |
| 2015 |   43   |   21  |   16  |   13  |   11  |   1   |
| 2016 |   40   |   22  |   15  |   12  |   8   |   1   |
| 2017 |   38   |   19  |   14  |   10  |   6   |   2   |
| 2018 |   41   |   20  |   17  |   11  |   11  |   3   |
+------+--------+-------+-------+-------+-------+-------+
